price,rooms,baths,square_feet,address
"$270,000",4 beds,4 beds,"3,125","331 E 82nd St, Chicago, IL 60619"
"$395,000",2 beds,2 beds,"1,640","1919 S State St #1, Chicago, IL 60616"
"$410,000",3 beds,3 beds,"4,536","2636 W 36th St, Chicago, IL 60632"
"$1,250,000",4 beds,4 beds,800,"2423 W Pensacola Ave, Chicago, IL 60618"
"$260,000",1 bed,1 bed,"1,248","1372 E 57th St #1, Chicago, IL 60637"
"$145,000",3 beds,3 beds,866,"8055 S Colfax Ave, Chicago, IL 60617"
"$360,000",5 beds,5 beds,—,"2619 N Major Ave, Chicago, IL 60639"
"$749,000",5 beds,5 beds,"1,427","4614 N Kenton Ave, Chicago, IL 60630"
"$268,000",3 beds,3 beds,"3,000","4010 S Western Ave #2, Chicago, IL 60609"
"$229,900",2 beds,2 beds,"7,840","141 Asbury Ave Unit 3N, Evanston, IL 60202"
"$324,500",2 beds,2 beds,"1,440","161 W Harrison St #406, Chicago, IL 60605"
"$195,000",2 beds,2 beds,"1,480","3209 W Argyle St Unit G, Chicago, IL 60625"
"$1,575,000",5 beds,5 beds,—,"2138 W Summerdale Ave, Chicago, IL 60625"
"$119,000",1 bed,1 bed,"3,125","7019 N Ridge Blvd Unit 3B, Chicago, IL 60645"
"$115,000",3 beds,3 beds,—,"6654 S Oakley Ave, Chicago, IL 60636"
"$169,000",2 beds,2 beds,"3,123","1131 E 61st St #3, Chicago, IL 60637"
"$799,000",8 beds,8 beds,900,"4015 N Paulina St, Chicago, IL 60613"
"$299,000",1 bed,1 bed,"1,201","33 W Delaware Pl Unit 23J, Chicago, IL 60610"
"$255,000",1 bed,1 bed,"3,875","1 E Scott St #409, Chicago, IL 60610"
"$424,900",3 beds,3 beds,"1,500","8300 W Maple Ave, Norridge, IL 60706"
"$579,900",3 beds,3 beds,"5,000","5151 N La Crosse Ave, Chicago, IL 60630"
"$659,900",6 beds,6 beds,—,"3853 N Spaulding Ave, Chicago, IL 60618"
"$515,000",2 beds,2 beds,"4,000","500 W Superior St #1111, Chicago, IL 60654"
"$210,000",4 beds,4 beds,—,"1624 W Pershing Rd, Chicago, IL 60609"
"$525,000",2 beds,2 beds,"3,750","1727 N Mohawk St Unit 2N, Chicago, IL 60614"
"$430,000",7 beds,7 beds,"1,256","7008 S King Dr, Chicago, IL 60637"
"$800,000",3 beds,3 beds,—,"5114 S Kenwood Ave Unit 1C, Chicago, IL 60615"
"$339,900",4 beds,4 beds,"3,049","4326 S Talman Ave, Chicago, IL 60632"
"$339,900",4 beds,4 beds,"1,350","8812 S Union Ave, Chicago, IL 60620"
"$437,500",4 beds,4 beds,—,"9616 S Longwood Dr, Chicago, IL 60643"
"$485,000",4 beds,4 beds,"3,125","Sign in for address, Chicago, IL 60630"
"$279,900",3 beds,3 beds,"1,843","8825 S Hermitage Ave, Chicago, IL 60620"
"$245,000",4 beds,4 beds,—,"8127 S Escanaba Ave, Chicago, IL 60617"
"$499,900",2 beds,2 beds,"3,125","3241 N Seminary Ave #2, Chicago, IL 60657"
"$275,000",6 beds,6 beds,"2,397","6555 S Green St, Chicago, IL 60621"
"$224,900",3 beds,3 beds,"3,750","8804 S Fairfield Ave, Evergreen Park, IL 60805"
"$425,000",16 beds,16 beds,"1,650","5114 W Van Buren St, Chicago, IL 60644"
"$145,000",1 bed,1 bed,"8,600","3756 N Bernard St Unit 3756-1, Chicago, IL 60618"
"$835,000",8 beds,8 beds,—,"4050 N Hermitage Ave, Chicago, IL 60613"
"$450,000",4 beds,4 beds,"4,059","3714 W Cortland St, Chicago, IL 60647"
"$93,500",6 beds,6 beds,"2,250","8830 S Exchange Ave, Chicago, IL 60617"
"$389,000",2 beds,2 beds,"7,500","345 W Fullerton Pkwy #1904, Chicago, IL 60614"
"$269,900",3 beds,3 beds,—,"1157 E 61st St #1, Chicago, IL 60637"
"$159,500",3 beds,3 beds,"1,250","10151 S Avenue M, Chicago, IL 60617"
"$439,000",2 beds,2 beds,—,"345 W Fullerton Pkwy #801, Chicago, IL 60614"
"$515,000",3 beds,3 beds,"3,484","4135 N Sacramento Ave, Chicago, IL 60618"
"$815,000",3 beds,3 beds,"1,177","550 N Saint Clair St #1703, Chicago, IL 60611"
"$638,000",3 beds,3 beds,"4,965","45 E 23rd St, Chicago, IL 60616"
"$420,000",2 beds,2 beds,—,"33 W Ontario St Unit 31F, Chicago, IL 60654"
"$485,000",2 beds,2 beds,650,"1629 S Prairie Ave #1203, Chicago, IL 60616"
"$135,000",3 beds,3 beds,—,"10119 S Vernon Ave, Chicago, IL 60628"
"$275,000",1 bed,1 bed,"5,280","2310 W Nelson St #307, Chicago, IL 60618"
"$249,000",1 bed,1 bed,—,"5255 N Riversedge Ter #405, Chicago, IL 60630"
"$529,900",5 beds,5 beds,"3,049","5134 N Saint Louis Ave, Chicago, IL 60625"
"$240,000",3 beds,3 beds,—,"1634 W Columbia Ave Unit 3N, Chicago, IL 60626"
"$799,000",4 beds,4 beds,"1,150","844 W Agatite Ave Unit 2W, Chicago, IL 60640"
"$930,000",3 beds,3 beds,"1,650","1543 N Wieland St Unit 2S, Chicago, IL 60610"
"$305,000",4 beds,4 beds,"1,071","6141 S Meade Ave, Chicago, IL 60638"
"$189,900",1 bed,1 bed,"3,120","212 W Washington St #2013, Chicago, IL 60606"
"$310,000",3 beds,3 beds,"1,430","7324 N Bell Ave #2, Chicago, IL 60645"
"$80,000",2 beds,2 beds,760,"9221 S Avalon Ave, Chicago, IL 60619"
"$975,000",3 beds,3 beds,"2,250","360 W Illinois St #619, Chicago, IL 60654"
"$389,000",2 beds,2 beds,"1,200","3359 N Clifton Ave #1, Chicago, IL 60657"
"$299,900",2 beds,2 beds,"1,275","3505 S Morgan St S #201, Chicago, IL 60609"
"$149,900",2 beds,2 beds,"1,230","4721 W 84th Pl, Chicago, IL 60652"
"$159,900",1 bed,1 bed,900,"4250 N Marine Dr #1028, Chicago, IL 60613"
"$899,000",4 beds,4 beds,"2,700","3631 N Pine Grove Ave Unit B, Chicago, IL 60613"
"$359,900",3 beds,3 beds,"1,531","5034 W Wilson Ave, Chicago, IL 60630"
"$1,400,000",5 beds,5 beds,"3,500","2817 N Francisco Ave, Chicago, IL 60618"
"$274,900",3 beds,3 beds,"3,149","4435 S Leamington Ave, Chicago, IL 60638"
"$369,900",2 beds,2 beds,"1,080","660 W Wayman St #502, Chicago, IL 60661"
"$1,075,000",3 beds,3 beds,730,"60 E Monroe St #3901, Chicago, IL 60603"
"$899,888",4 beds,4 beds,"1,750","1409 S Clark St, Chicago, IL 60605"
"$2,600,000",4 beds,4 beds,—,"18 E Division St #3, Chicago, IL 60610"
"$370,000",4 beds,4 beds,"4,000","1218 W 98th St, Chicago, IL 60643"
"$399,900",8 beds,8 beds,"2,200","6909 S Indiana Ave, Chicago, IL 60637"
"$475,000",2 beds,2 beds,"4,151","420 W Ontario St #305, Chicago, IL 60654"
"$235,000",1 bed,1 bed,—,"1360 N Sandburg Ter Unit 1908C, Chicago, IL 60610"
"$650,000",3 beds,3 beds,"3,920","3838 N Sheffield Ave #101, Chicago, IL 60613"
"$325,000",1 bed,1 bed,"1,355","345 N La Salle St #2803, Chicago, IL 60654"
"$210,000",2 beds,2 beds,800,"5200 S Drexel Ave Unit 3W, Chicago, IL 60615"
"$175,000",2 beds,2 beds,"2,500","4907 N Harlem Ave N #3, Chicago, IL 60656"
"$1,395,000",2 beds,2 beds,810,"401 N Wabash Ave Unit 65D, Chicago, IL 60611"
"$125,900",7 beds,7 beds,"1,100","1523 S Homan Ave, Chicago, IL 60623"
"$370,000",2 beds,2 beds,"1,000","400 N Lasalle Dr #1507, Chicago, IL 60610"
"$355,000",2 beds,2 beds,"2,022","1224 W Van Buren St #621, Chicago, IL 60607"
"$519,900",2 beds,2 beds,—,"757 N Orleans St #1812, Chicago, IL 60654"
"$339,000",1 bed,1 bed,"1,015","Sign in for address, Chicago, IL 60661"
"$779,000",5 beds,5 beds,"1,067","5032 S Michigan Ave, Chicago, IL 60615"
"$439,500",2 beds,2 beds,"1,248","3660 N Lake Shore Dr #1501, Chicago, IL 60613"
"$439,500",2 beds,2 beds,798,"3660 N Lake Shore Dr #1513, Chicago, IL 60613"
"$110,000",4 beds,4 beds,"3,100","2831 E 76th Pl, Chicago, IL 60649"
"$245,000",1 bed,1 bed,"4,000","111 W Maple St #2508, Chicago, IL 60610"
"$550,000",6 beds,6 beds,—,"4422 S Emerald Ave, Chicago, IL 60609"
"$447,500",2 beds,2 beds,—,"3660 N Lake Shore Dr #2701, Chicago, IL 60613"
"$575,000",5 beds,5 beds,"1,396","1721 W 100th Pl, Chicago, IL 60643"
"$385,000",2 beds,2 beds,"2,439","5061 N Kenmore Ave #3, Chicago, IL 60640"
"$700,000",2 beds,2 beds,650,"1030 N State St Unit 43L, Chicago, IL 60610"
"$469,900",8 beds,8 beds,—,"5248 W Huron St, Chicago, IL 60644"
"$354,500",4 beds,4 beds,"1,200","3935 W 67th Place Pl, Chicago, IL 60629"
"$399,900",3 beds,3 beds,"3,750","6301 W Higgins Ave, Chicago, IL 60630"
"$318,000",2 beds,2 beds,"1,441","916 W Fullerton Ave #3, Chicago, IL 60614"
"$785,000",3 beds,3 beds,"1,050","3711 N Janssen Ave #1, Chicago, IL 60613"
"$225,000",4 beds,4 beds,—,"9123 S Halsted St, Chicago, IL 60620"
"$199,950",2 beds,2 beds,"1,175","1033 N Harding Ave, Chicago, IL 60651"
"$239,900",2 beds,2 beds,923,"5932 W 64th Pl W, Chicago, IL 60638"
"$849,000",5 beds,5 beds,"1,100","5514 N Glenwood Ave N, Chicago, IL 60640"
"$165,000",2 beds,2 beds,"3,750","11345 S Ada St, Chicago, IL 60643"
"$450,000",2 beds,2 beds,—,"3660 N Lake Shore Dr #1601, Chicago, IL 60613"
"$424,900",2 beds,2 beds,"3,500","437 W Division St #511, Chicago, IL 60610"
"$609,999",15 beds,15 beds,500,"4245 W Maypole Ave, Chicago, IL 60624"
"$159,900",3 beds,3 beds,"3,125","11943 S Princeton Ave, Chicago, IL 60628"
"$330,000",1 bed,1 bed,—,"440 N Wabash Ave #4204, Chicago, IL 60611"
"$599,900",2 beds,2 beds,"1,033","125 S Green St Unit 501A, Chicago, IL 60607"
"$295,900",1 bed,1 bed,—,"1250 S Michigan Ave #1003, Chicago, IL 60605"
"$294,900",4 beds,4 beds,"7,161","5521 S Albany Ave, Chicago, IL 60629"
"$289,000",1 bed,1 bed,842,"1250 S Michigan Ave #1504, Chicago, IL 60605"
"$235,000",2 beds,2 beds,849,"3150 N Neva Ave Unit 3A, Chicago, IL 60634"
"$345,000",2 beds,2 beds,—,"3300 W Irving Park Rd Unit G2, Chicago, IL 60618"
"$949,000",4 beds,4 beds,850,"1813 N Sawyer Ave #1, Chicago, IL 60647"
"$419,900",8 beds,8 beds,"1,065","5036 W Congress Pkwy, Chicago, IL 60644"
"$370,000",1 bed,1 bed,850,"130 N Garland Ct #2010, Chicago, IL 60602"
"$189,900",3 beds,3 beds,"1,040","11521 S Stewart Ave, Chicago, IL 60628"
"$150,000",1 bed,1 bed,—,"1409 W Farwell Ave Unit 2G, Chicago, IL 60626"
"$735,000",5 beds,5 beds,"3,200","6924 N Oriole Ave, Chicago, IL 60631"
"$339,000",4 beds,4 beds,—,"2704 N Neva Ave, Chicago, IL 60707"
"$1,399,000",6 beds,6 beds,"5,412","1625 W Winona St, Chicago, IL 60640"
"$799,000",3 beds,3 beds,900,"1229 W Carmen Ave #2, Chicago, IL 60640"
"$1,050,000",3 beds,3 beds,"1,300","1212 N Lake Shore Dr Unit 25AS, Chicago, IL 60610"
"$399,900",2 beds,2 beds,800,"1455 N Sandburg Ter Unit 2709B, Chicago, IL 60610"
"$230,000",3 beds,3 beds,"3,000","9842 S Winston Ave, Chicago, IL 60643"
"$400,000",2 beds,2 beds,"3,990","873 N Larrabee St #708, Chicago, IL 60610"
"$369,000",4 beds,4 beds,"1,267","3727 N Page Ave, Chicago, IL 60634"
"$409,000",2 beds,2 beds,"3,750","160 E Illinois St #907, Chicago, IL 60611"
"$599,999",3 beds,3 beds,"4,065","2032 W Augusta Blvd #1, Chicago, IL 60622"
"$119,900",1 bed,1 bed,"3,125","1714 W Touhy Ave Unit A1N, Chicago, IL 60626"
"$550,000",2 beds,2 beds,"2,050","905 N Kingsbury St #905, Chicago, IL 60610"
"$385,000",3 beds,3 beds,"2,150","4927 N Clifton Ave, Norridge, IL 60706"
"$525,000",1 bed,1 bed,801,"600 N Lake Shore Dr #4107, Chicago, IL 60611"
"$369,900",2 beds,2 beds,"1,226","1070 W 15th St #202, Chicago, IL 60608"
"$760,000",1 bed,1 bed,"1,224","340 E Randolph St #1205, Chicago, IL 60601"
"$329,900",4 beds,4 beds,"1,730","5245 S Kolmar Ave, Chicago, IL 60632"
"$1,599,000",4 beds,4 beds,"3,780","15 N Ada St, Chicago, IL 60607"
"$201,500",5 beds,5 beds,"3,000","8918 S Paulina St, Chicago, IL 60620"
"$574,999",3 beds,3 beds,"1,890","1111 S State St #701, Chicago, IL 60605"
"$359,000",2 beds,2 beds,"1,900","1133 S Wabash Ave #207, Chicago, IL 60605"
"$849,000",5 beds,5 beds,"1,750","3257 N Oakley Ave, Chicago, IL 60618"
"$339,900",2 beds,2 beds,"1,200","1464 S Michigan Ave #802, Chicago, IL 60605"
"$249,000",1 bed,1 bed,—,"10 E Ontario St #2412, Chicago, IL 60611"
"$314,900",5 beds,5 beds,"2,613","8136 S Winchester Ave, Chicago, IL 60620"
"$349,900",3 beds,3 beds,"1,000","3438 N Harlem Ave #2, Chicago, IL 60634"
"$417,000",2 beds,2 beds,765,"1250 S Indiana Ave #903, Chicago, IL 60605"
"$350,000",2 beds,2 beds,"1,250","500 W Superior St #604, Chicago, IL 60654"
"$330,000",6 beds,6 beds,"3,565","8251 S May St, Chicago, IL 60620"
"$325,000",2 beds,2 beds,"1,500","4453 N Paulina St Unit D3, Chicago, IL 60640"
"$262,500",1 bed,1 bed,—,"1645 W Ogden Ave #819, Chicago, IL 60612"
"$258,000",4 beds,4 beds,—,"10043 S Calumet Ave, Chicago, IL 60628"
"$199,900",3 beds,3 beds,—,"7629 S Rhodes Ave, Chicago, IL 60619"
"$229,900",1 bed,1 bed,"4,375","235 W Van Buren St #1517, Chicago, IL 60607"
"$359,900",2 beds,2 beds,"1,200","5625 N Wayne Ave Unit A2, Chicago, IL 60660"
"$539,000",3 beds,3 beds,—,"6245 N Oak Park Ave, Chicago, IL 60631"
"$273,900",2 beds,2 beds,"1,500","6129 S Mason Ave, Chicago, IL 60638"
"$125,000",2 beds,2 beds,"1,149","739 W 129th Pl, Chicago, IL 60628"
"$635,000",4 beds,4 beds,"3,101","4412 S Oakenwald Ave, Chicago, IL 60653"
"$360,000",2 beds,2 beds,750,"4442 N Dover St Unit 3N, Chicago, IL 60640"
"$430,000",5 beds,5 beds,"1,100","22 S Austin Blvd, Oak Park, IL 60304"
"$1,725,000",5 beds,5 beds,—,"1307 W Schubert Ave, Chicago, IL 60614"
"$405,000",2 beds,2 beds,"6,624","1601 S Indiana Ave #110, Chicago, IL 60616"
"$283,000",3 beds,3 beds,877,"7720 S Marshfield Ave, Chicago, IL 60620"
"$539,000",2 beds,2 beds,978,"1760 N Wells St Unit 1B, Chicago, IL 60614"
"$335,000",1 bed,1 bed,"4,725","1560 N Sandburg Ter Unit 4201J, Chicago, IL 60610"
"$425,000",3 beds,3 beds,"2,995","2322 S Hoyne Ave, Chicago, IL 60608"
"$1,349,900",4 beds,4 beds,"1,200","1309 S Indiana Ave, Chicago, IL 60605"
"$169,000",0 beds,0 beds,—,"200 W Menomonee St #14, Chicago, IL 60614"
"$259,000",2 beds,2 beds,"3,484","24 S Leavitt St Unit B, Chicago, IL 60612"
"$265,000",1 bed,1 bed,—,"545 N Dearborn St Unit W2905, Chicago, IL 60654"
"$180,000",0 beds,0 beds,"3,000","777 N Michigan Ave #1802, Chicago, IL 60611"
"$549,000",4 beds,4 beds,"1,400","3245 W Cortez St, Chicago, IL 60651"
"$775,000",11 beds,11 beds,"2,246","5124 S Prairie Ave, Chicago, IL 60615"
"$175,000",1 bed,1 bed,600,"233 E Erie St #902, Chicago, IL 60611"
"$315,000",5 beds,5 beds,"1,880","1518 E 73rd Pl, Chicago, IL 60619"
"$1,099,000",6 beds,6 beds,"5,227","3327 W Glenlake Ave, Chicago, IL 60659"
"$289,000",2 beds,2 beds,"3,800","4936 N Winthrop Ave Unit 1W, Chicago, IL 60640"
"$440,000",2 beds,2 beds,"8,276","615 N Noble St Unit 3N, Chicago, IL 60642"
"$399,000",2 beds,2 beds,—,"565 W Quincy St #1508, Chicago, IL 60661"
"$355,000",4 beds,4 beds,"1,200","8031 S Michigan Ave, Chicago, IL 60619"
"$1,150,000",5 beds,5 beds,"1,050","4037 N Troy St, Chicago, IL 60618"
"$329,000",2 beds,2 beds,"2,400","801 S Wells St #503, Chicago, IL 60607"
"$489,000",2 beds,2 beds,"3,125","848 W Erie St #2, Chicago, IL 60642"
"$969,000",4 beds,4 beds,"3,900","1515 S Prairie Ave #1013, Chicago, IL 60605"
"$615,000",2 beds,2 beds,—,"57 E Delaware Pl #2306, Chicago, IL 60611"
"$539,900",4 beds,4 beds,—,"725 N Humphrey Ave, Oak Park, IL 60302"
"$1,180,000",3 beds,3 beds,"2,757","367 W Superior St Unit B, Chicago, IL 60654"
"$319,900",1 bed,1 bed,"1,500","720 N Larrabee St #1703, Chicago, IL 60654"
"$419,000",2 beds,2 beds,"2,061","2045 N Larrabee St #7207, Chicago, IL 60614"
"$1,199,000",3 beds,3 beds,"6,098","835 N Wood St Unit 102-202, Chicago, IL 60622"
"$584,000",4 beds,4 beds,"3,300","3649 S Giles Ave, Chicago, IL 60653"
"$335,000",1 bed,1 bed,813,"1660 N La Salle Dr #3405, Chicago, IL 60614"
"$720,000",3 beds,3 beds,—,"2440 W Irving Park Rd #3, Chicago, IL 60618"
"$669,000",2 beds,2 beds,"2,750","910 S Michigan Ave #304, Chicago, IL 60605"
"$389,000",2 beds,2 beds,"1,878","130 S Canal St #705, Chicago, IL 60606"
"$319,000",2 beds,2 beds,800,"235 W Van Buren St #2313, Chicago, IL 60607"
"$374,900",2 beds,2 beds,"1,750","728 W Jackson Blvd #1104, Chicago, IL 60661"
"$669,000",3 beds,3 beds,"1,750","100 E 14th St #1001, Chicago, IL 60605"
"$415,000",1 bed,1 bed,—,"100 E 14th St #2203, Chicago, IL 60605"
"$260,000",2 beds,2 beds,750,"4343 N Clarendon Ave #1102, Chicago, IL 60613"
